id|name|parent|
18052|VPN Closed|Application|
18053|VPN Reset|Application|
18054|VPN Terminated|Application|
18055|VPN Denied|Application|
18056|VPN In Progress|Application|
18057|VPN Delayed|Application|
18058|VPN Queued|Application|
18059|VPN Redirected|Application|
18060|RDP Opened|Application|
18061|RDP Closed|Application|
18062|RDP Reset|Application|
18063|RDP Terminated|Application|
18064|RDP Denied|Application|
18065|RDP In Progress|Application|
18066|RDP Redirected|Application|
18067|FileTransfer Opened|Application|
18068|FileTransfer Closed|Application|
18069|FileTransfer Reset|Application|
18070|FileTransfer Terminated|Application|
18071|FileTransfer Denied|Application|
18072|FileTransfer In Progress|Application|
18073|FileTransfer Delayed|Application|
18074|FileTransfer Queued|Application|
18075|FileTransfer Redirected|Application|
18076|DNS Opened|Application|
18077|DNS Closed|Application|
18078|DNS Reset|Application|
18079|DNS Terminated|Application|
18080|DNS Denied|Application|
18081|DNS In Progress|Application|
18082|DNS Delayed|Application|
18083|DNS Redirected|Application|
18084|Chat Opened|Application|
18085|Chat Closed|Application|
18086|Chat Reset|Application|
18087|Chat Terminated|Application|
18088|Chat Denied|Application|
18089|Chat In Progress|Application|
18090|Chat Redirected|Application|
18091|Database Opened|Application|
18092|Database Closed|Application|
18093|Database Reset|Application|
18094|Database Terminated|Application|
18095|Database Denied|Application|
18096|Database In Progress|Application|
18097|Database Redirected|Application|
18098|SMTP Opened|Application|
18099|SMTP Closed|Application|
18100|SMTP Reset|Application|
18101|SMTP Terminated|Application|
18102|SMTP Denied|Application|
18103|SMTP In Progress|Application|
18104|SMTP Delayed|Application|
18105|SMTP Queued|Application|
18106|SMTP Redirected|Application|
18107|Auth Opened|Application|
18108|Auth Closed|Application|
18109|Auth Reset|Application|
18110|Auth Terminated|Application|
18111|Auth Denied|Application|
18112|Auth In Progress|Application|
18113|Auth Delayed|Application|
18114|Auth Queued|Application|
18115|Auth Redirected|Application|
18116|P2P Opened|Application|
18117|P2P Closed|Application|
18118|P2P Reset|Application|
18119|P2P Terminated|Application|
18120|P2P Denied|Application|
18121|P2P In Progress|Application|
18122|Web Opened|Application|
18123|Web Closed|Application|
18124|Web Reset|Application|
18125|Web Terminated|Application|
18126|Web Denied|Application|
18127|Web In Progress|Application|
18128|Web Delayed|Application|
18129|Web Queued|Application|
18130|Web Redirected|Application|
18131|Web Proxy|Application|
18132|VoIP Opened|Application|
18133|VoIP Closed|Application|
18134|VoIP Reset|Application|
18135|VoIP Terminated|Application|
18136|VoIP Denied|Application|
18137|VoIP In Progress|Application|
18138|VoIP Delayed|Application|
18139|VoIP Redirected|Application|
18140|LDAP Session Started|Application|
18141|LDAP Session Ended|Application|
18142|LDAP Session Denied|Application|
18143|LDAP Session Status|Application|
18144|LDAP Authentication Failed|Application|
18145|LDAP Authentication Succeeded|Application|
18146|AAA Session Started|Application|
18147|AAA Session Ended|Application|
18148|AAA Session Denied|Application|
18149|AAA Session Status|Application|
18150|AAA Authentication Failed|Application|
18151|AAA Authentication Succeeded|Application|
18152|IPSec Authentication Failed|Application|
18153|IPSec Authentication Succeeded|Application|
18154|IPSec Session Started|Application|
18155|IPSec Session Ended|Application|
18156|IPSec Error|Application|
18157|IPSec Status|Application|
18158|IM Session Opened|Application|
18159|IM Session Closed|Application|
18160|IM Session Reset|Application|
18161|IM Session Terminated|Application|
18162|IM Session Denied|Application|
18163|IM Session In Progress|Application|
18164|IM Session Delayed|Application|
18165|IM Session Redirected|Application|
18166|Whois Session Opened|Application|
18167|Whois Session Closed|Application|
18168|Whois Session Reset|Application|
18169|Whois Session Terminated|Application|
18170|Whois Session Denied|Application|
18171|Whois Session In Progress|Application|
18172|Whois Session Redirected|Application|
18173|Traceroute Session Opened|Application|
18174|Traceroute Session Closed|Application|
18175|Traceroute Session Denied|Application|
18176|Traceroute Session In Progress|Application|
18177|TN3270 Session Opened|Application|
18178|TN3270 Session Closed|Application|
18179|TN3270 Session Reset|Application|
18180|TN3270 Session Terminated|Application|
18181|TN3270 Session Denied|Application|
18182|TN3270 Session In Progress|Application|
18183|TFTP Session Opened|Application|
18184|TFTP Session Closed|Application|
18185|TFTP Session Reset|Application|
18186|TFTP Session Terminated|Application|
18187|TFTP Session Denied|Application|
18188|TFTP Session In Progress|Application|
18189|Telnet Session Opened|Application|
18190|Telnet Session Closed|Application|
18191|Telnet Session Reset|Application|
18192|Telnet Session Terminated|Application|
18193|Telnet Session Denied|Application|
18194|Telnet Session In Progress|Application|
